store_id,federal_state,store_format,location_type,store_age_years,store_area_sqm,assortment_count,fresh_food_percent,private_label_percent,organic_products_percent,staff_count,weekly_opening_hours,competitors_nearby,population_density,avg_income_area,parking_spaces,renovation_last_years,bakery_section,deli_counter,year
1,Bavaria,Hypermarket,Urban Residential,6,3920,15741,32.10990555646927,15.188624070591956,14.509255866569607,25,90,5,2566,115,165,2,True,True,2024
2,North Rhine-Westphalia,Supermarket,Urban Center,15,1646,8399,44.63371251058978,35.42068491172201,7.841410321989411,22,87,5,6056,106,35,7,True,True,2024
3,Saxony,Discounter,Urban Center,7,1231,2447,20.43617960947296,66.44312161724227,8.191309772296735,6,78,5,4441,92,20,1,True,False,2024
4,North Rhine-Westphalia,Supermarket,Suburban,12,1704,9069,42.62542741776431,34.80385034801564,7.218120260337122,23,84,1,1294,93,95,0,True,True,2024
5,North Rhine-Westphalia,Supermarket,Suburban,15,1296,6714,43.452243233624465,24.802119636032756,12.301529319716028,15,75,3,1594,110,55,4,True,True,2024
6,Hesse,Discounter,Urban Center,17,1294,2227,20.090654996761447,61.15894700645211,3.2014694572903575,7,75,6,6292,114,20,9,False,False,2024
7,North Rhine-Westphalia,Discounter,Urban Residential,4,1457,2590,25.46956684312168,52.63551172579617,4.521184492276729,10,66,3,3814,95,40,4,True,False,2024
8,Hesse,Convenience,Rural,7,854,1667,19.880972990604537,25.555705136338496,15.341249155350242,13,95,2,635,105,10,2,False,False,2024
9,Thuringia,Discounter,Rural,13,1432,3307,24.34653104451385,67.3651070180445,10.592202477645486,8,60,2,420,73,50,3,True,False,2024
10,Baden-Württemberg,Hypermarket,Urban Center,26,2113,10512,37.681187083580554,32.70689689755601,9.030095792294128,18,93,5,5872,109,45,13,False,True,2024
11,Bavaria,Hypermarket,Suburban,7,3212,11482,31.448436155613585,25.461048123320964,4.7785497140302535,25,81,3,1770,123,185,1,True,True,2024
12,Bavaria,Supermarket,Suburban,9,1449,8045,39.673761468860384,29.633824823974102,2.7499504175316405,17,75,2,1872,112,80,0,True,True,2024
13,North Rhine-Westphalia,Discounter,Urban Residential,13,1220,2899,27.066587762537917,60.27103255905004,14.670412977183481,7,66,3,2333,96,30,2,True,False,2024
14,Bavaria,Supermarket,Urban Center,16,1806,8206,35.9049790131592,26.023681474020517,9.252588168340353,24,90,5,4233,112,35,15,True,True,2024
15,Baden-Württemberg,Discounter,Rural,5,1193,2420,28.834434515214515,67.9134695053537,13.765321536307386,6,63,3,470,113,40,2,False,False,2024
16,North Rhine-Westphalia,Convenience,Urban Center,10,698,1423,16.81050964487641,13.404023963288319,9.02276591721568,11,104,5,4512,93,5,0,False,False,2024
17,Saxony,Supermarket,Urban Center,13,1322,5731,36.45022677350296,39.61579418236338,2.9838082468888687,14,87,4,5504,92,20,8,True,True,2024
19,Rhineland-Palatinate,Supermarket,Urban Residential,9,2458,12465,36.90549100344434,24.74831723694848,12.506005001470003,32,84,5,2648,89,85,1,True,True,2024
20,Baden-Württemberg,Discounter,Suburban,24,1365,3141,23.095996240266867,61.76087393731514,2.0,6,72,2,1721,113,55,8,False,False,2024
21,Hesse,Discounter,Urban Center,5,1234,2338,23.78297286023234,62.19016267436558,9.957064572472618,6,84,6,3501,119,15,0,True,True,2024
22,Rhineland-Palatinate,Discounter,Urban Residential,0,1113,1890,29.164779700682843,58.554302894316486,10.69273366653727,7,75,3,3811,91,25,0,True,False,2024
23,Baden-Württemberg,Discounter,Suburban,18,862,1944,27.700181290226425,68.1544742532382,3.3040590790746047,4,66,1,1525,112,35,2,True,False,2024
24,Baden-Württemberg,Supermarket,Urban Residential,12,1610,7129,44.4491573444496,29.107654211573433,16.801342602734543,19,84,5,3634,113,60,2,False,True,2024
25,Bavaria,Discounter,Suburban,25,1433,2512,26.764951337308723,58.40009281904567,17.29818295521108,7,78,1,1854,125,55,11,False,False,2024
26,Baden-Württemberg,Discounter,Urban Residential,10,1092,2567,28.707173019970917,60.30525236928522,21.32881650616866,5,78,3,3677,108,25,3,True,False,2024
27,Baden-Württemberg,Convenience,Rural,0,747,1714,21.672979265454572,27.456906090660052,13.474992242224072,9,92,2,510,103,10,0,False,False,2024
